CodigoNacional;momento;Ts_Valor
200006;28-02-2021 06:00:00;20.9
200006;28-02-2021 07:00:00;20.9
200006;28-02-2021 08:00:00;20.7
200006;28-02-2021 09:00:00;21.3
200006;28-02-2021 10:00:00;21.5
200006;28-02-2021 11:00:00;20.9
200006;28-02-2021 12:00:00;23.0
200006;28-02-2021 13:00:00;22.5
200006;28-02-2021 14:00:00;23.1
200006;28-02-2021 15:00:00;24.2
200006;28-02-2021 16:00:00;24.6
200006;28-02-2021 17:00:00;24.8
200006;28-02-2021 18:00:00;25.1
200006;28-02-2021 19:00:00;26.3
200006;28-02-2021 20:00:00;25.1
200006;28-02-2021 21:00:00;24.9
200006;28-02-2021 22:00:00;24.4
200006;28-02-2021 23:00:00;23.4
200006;01-03-2021 00:00:00;23.0
200006;01-03-2021 01:00:00;22.8
200006;01-03-2021 02:00:00;22.9
200006;01-03-2021 03:00:00;22.2
200006;01-03-2021 04:00:00;21.7
200006;01-03-2021 05:00:00;21.3
200006;01-03-2021 06:00:00;20.7
200006;01-03-2021 07:00:00;20.9
200006;01-03-2021 08:00:00;20.9
200006;01-03-2021 09:00:00;21.3
200006;01-03-2021 10:00:00;20.5
200006;01-03-2021 11:00:00;19.2
200006;01-03-2021 12:00:00;21.2
200006;01-03-2021 13:00:00;22.7
200006;01-03-2021 14:00:00;24.5
200006;01-03-2021 15:00:00;25.0
200006;01-03-2021 16:00:00;25.9
200006;01-03-2021 17:00:00;26.4
200006;01-03-2021 18:00:00;26.2
200006;01-03-2021 19:00:00;26.4
200006;01-03-2021 20:00:00;26.3
200006;01-03-2021 21:00:00;25.5
200006;01-03-2021 22:00:00;25.2
200006;01-03-2021 23:00:00;24.0
200006;02-03-2021 00:00:00;24.1
200006;02-03-2021 01:00:00;22.8
200006;02-03-2021 02:00:00;23.0
200006;02-03-2021 03:00:00;22.6
200006;02-03-2021 04:00:00;22.3
200006;02-03-2021 05:00:00;21.2
200006;02-03-2021 06:00:00;21.0
200006;02-03-2021 07:00:00;21.2
200006;02-03-2021 08:00:00;21.2
200006;02-03-2021 09:00:00;20.9
200006;02-03-2021 10:00:00;20.5
200006;02-03-2021 11:00:00;20.7
200006;02-03-2021 12:00:00;22.6
200006;02-03-2021 13:00:00;22.6
200006;02-03-2021 14:00:00;24.4
200006;02-03-2021 15:00:00;25.5
200006;02-03-2021 16:00:00;26.0
200006;02-03-2021 17:00:00;25.2
200006;02-03-2021 18:00:00;24.8
200006;02-03-2021 19:00:00;25.8
200006;02-03-2021 20:00:00;25.5
200006;02-03-2021 21:00:00;25.1
200006;02-03-2021 22:00:00;25.1
200006;02-03-2021 23:00:00;23.8
200006;03-03-2021 00:00:00;23.3
200006;03-03-2021 01:00:00;21.9
200006;03-03-2021 02:00:00;22.7
200006;03-03-2021 03:00:00;22.6
200006;03-03-2021 04:00:00;22.4
200006;03-03-2021 05:00:00;22.0
200006;03-03-2021 06:00:00;21.8
200006;03-03-2021 07:00:00;20.8
200006;03-03-2021 08:00:00;21.1
200006;03-03-2021 09:00:00;21.1
200006;03-03-2021 10:00:00;20.5
200006;03-03-2021 11:00:00;21.0
200006;03-03-2021 12:00:00;23.1
200006;03-03-2021 13:00:00;23.4
200006;03-03-2021 14:00:00;23.2
200006;03-03-2021 15:00:00;25.5
200006;03-03-2021 16:00:00;25.8
200006;03-03-2021 17:00:00;25.2
200006;03-03-2021 18:00:00;25.6
200006;03-03-2021 19:00:00;26.0
200006;03-03-2021 20:00:00;25.7
200006;03-03-2021 21:00:00;26.0
200006;03-03-2021 22:00:00;25.3
200006;03-03-2021 23:00:00;24.2
200006;04-03-2021 00:00:00;23.7
200006;04-03-2021 01:00:00;23.7
200006;04-03-2021 02:00:00;23.0
200006;04-03-2021 03:00:00;22.6
200006;04-03-2021 04:00:00;22.7
200006;04-03-2021 05:00:00;22.3
200006;04-03-2021 06:00:00;22.0
200006;04-03-2021 07:00:00;21.4
200006;04-03-2021 08:00:00;21.5
200006;04-03-2021 09:00:00;21.7
200006;04-03-2021 10:00:00;21.5
200006;04-03-2021 11:00:00;21.1
200006;04-03-2021 12:00:00;22.5
200006;04-03-2021 13:00:00;23.9
200006;04-03-2021 14:00:00;24.4
200006;04-03-2021 15:00:00;24.4
200006;04-03-2021 16:00:00;24.3
200006;04-03-2021 17:00:00;24.6
200006;04-03-2021 18:00:00;24.6
200006;04-03-2021 19:00:00;24.7
200006;04-03-2021 20:00:00;24.6
200006;04-03-2021 21:00:00;24.4
200006;04-03-2021 22:00:00;24.5
200006;04-03-2021 23:00:00;23.9
200006;05-03-2021 00:00:00;23.6
200006;05-03-2021 01:00:00;23.7
200006;05-03-2021 02:00:00;23.4
200006;05-03-2021 03:00:00;23.3
200006;05-03-2021 04:00:00;23.2
200006;05-03-2021 05:00:00;22.6
200006;05-03-2021 06:00:00;22.6
200006;05-03-2021 07:00:00;22.0
200006;05-03-2021 08:00:00;21.1
200006;05-03-2021 09:00:00;21.7
200006;05-03-2021 10:00:00;20.8
200006;05-03-2021 11:00:00;21.4
200006;05-03-2021 12:00:00;22.3
200006;05-03-2021 13:00:00;24.3
200006;05-03-2021 14:00:00;24.4
200006;05-03-2021 15:00:00;25.3
200006;05-03-2021 16:00:00;25.5
200006;05-03-2021 17:00:00;25.3
200006;05-03-2021 18:00:00;25.5
200006;05-03-2021 19:00:00;25.4
200006;05-03-2021 20:00:00;25.4
200006;05-03-2021 21:00:00;24.8
200006;05-03-2021 22:00:00;24.4
200006;05-03-2021 23:00:00;23.7
200006;06-03-2021 00:00:00;23.4
200006;06-03-2021 01:00:00;23.8
200006;06-03-2021 02:00:00;23.2
200006;06-03-2021 03:00:00;23.0
200006;06-03-2021 04:00:00;22.3
200006;06-03-2021 05:00:00;22.4
200006;06-03-2021 06:00:00;21.7
200006;06-03-2021 07:00:00;21.3
200006;06-03-2021 08:00:00;21.6
200006;06-03-2021 09:00:00;21.0
200006;06-03-2021 10:00:00;20.7
200006;06-03-2021 11:00:00;20.6
200006;06-03-2021 12:00:00;22.3
200006;06-03-2021 13:00:00;23.8
200006;06-03-2021 14:00:00;24.1
200006;06-03-2021 15:00:00;24.5
200006;06-03-2021 16:00:00;25.5
200006;06-03-2021 17:00:00;25.4
200006;06-03-2021 18:00:00;24.7
200006;06-03-2021 19:00:00;24.8
200006;06-03-2021 20:00:00;24.5
200006;06-03-2021 21:00:00;24.2
200006;06-03-2021 22:00:00;23.4
200006;06-03-2021 23:00:00;22.8
200006;07-03-2021 00:00:00;22.4
200006;07-03-2021 01:00:00;22.3
200006;07-03-2021 02:00:00;22.3
200006;07-03-2021 03:00:00;22.1
200006;07-03-2021 04:00:00;21.2
200006;07-03-2021 05:00:00;21.8
200006;07-03-2021 06:00:00;21.0
200006;07-03-2021 07:00:00;21.2
200006;07-03-2021 08:00:00;21.0
200006;07-03-2021 09:00:00;20.3
200006;07-03-2021 10:00:00;20.2
200006;07-03-2021 11:00:00;19.9
200006;07-03-2021 12:00:00;21.0
200006;07-03-2021 13:00:00;23.1
200006;07-03-2021 14:00:00;23.7
200006;07-03-2021 15:00:00;24.1
200006;07-03-2021 16:00:00;24.6
200006;07-03-2021 17:00:00;24.1
200006;07-03-2021 18:00:00;25.3
200006;07-03-2021 19:00:00;24.5
200006;07-03-2021 20:00:00;24.4
200006;07-03-2021 21:00:00;23.6
200006;07-03-2021 22:00:00;23.3
200006;07-03-2021 23:00:00;22.5
200006;08-03-2021 00:00:00;22.0
200006;08-03-2021 01:00:00;22.1
200006;08-03-2021 02:00:00;22.3
200006;08-03-2021 03:00:00;21.7
200006;08-03-2021 04:00:00;21.1
200006;08-03-2021 05:00:00;20.9
200006;08-03-2021 06:00:00;20.3
200006;08-03-2021 07:00:00;20.2
200006;08-03-2021 08:00:00;20.6
200006;08-03-2021 09:00:00;20.7
200006;08-03-2021 10:00:00;20.0
200006;08-03-2021 11:00:00;19.6
200006;08-03-2021 12:00:00;20.5
200006;08-03-2021 13:00:00;20.3
200006;08-03-2021 14:00:00;22.6
200006;08-03-2021 15:00:00;23.8
200006;08-03-2021 16:00:00;22.9
200006;08-03-2021 17:00:00;24.2
200006;08-03-2021 18:00:00;24.1
200006;08-03-2021 19:00:00;24.0
200006;08-03-2021 20:00:00;24.1
200006;08-03-2021 21:00:00;24.2
200006;08-03-2021 22:00:00;23.7
200006;08-03-2021 23:00:00;22.8
200006;09-03-2021 00:00:00;22.8
200006;09-03-2021 01:00:00;22.7
200006;09-03-2021 02:00:00;22.7
200006;09-03-2021 03:00:00;20.2
200006;09-03-2021 04:00:00;20.2
200006;09-03-2021 05:00:00;19.6
200006;09-03-2021 06:00:00;19.1
200006;09-03-2021 07:00:00;19.8
200006;09-03-2021 08:00:00;20.5
200006;09-03-2021 09:00:00;20.0
200006;09-03-2021 10:00:00;20.6
200006;09-03-2021 11:00:00;20.4
200006;09-03-2021 12:00:00;21.5
200006;09-03-2021 13:00:00;22.5
200006;09-03-2021 14:00:00;23.1
200006;09-03-2021 15:00:00;23.6
200006;09-03-2021 16:00:00;24.0
200006;09-03-2021 17:00:00;23.9
200006;09-03-2021 18:00:00;23.9
200006;09-03-2021 19:00:00;23.6
200006;09-03-2021 20:00:00;24.0
200006;09-03-2021 21:00:00;23.7
200006;09-03-2021 22:00:00;22.8
200006;09-03-2021 23:00:00;22.4
200006;10-03-2021 00:00:00;22.2
200006;10-03-2021 01:00:00;22.0
200006;10-03-2021 02:00:00;22.1
200006;10-03-2021 03:00:00;22.0
200006;10-03-2021 04:00:00;21.6
200006;10-03-2021 05:00:00;21.7
200006;10-03-2021 06:00:00;21.6
200006;10-03-2021 07:00:00;21.3
200006;10-03-2021 08:00:00;20.5
200006;10-03-2021 09:00:00;21.1
200006;10-03-2021 10:00:00;21.1
200006;10-03-2021 11:00:00;20.6
200006;10-03-2021 12:00:00;22.0
200006;10-03-2021 13:00:00;21.6
200006;10-03-2021 14:00:00;21.9
200006;10-03-2021 15:00:00;22.9
200006;10-03-2021 16:00:00;24.3
200006;10-03-2021 17:00:00;25.5
200006;10-03-2021 18:00:00;25.6
200006;10-03-2021 19:00:00;25.3
200006;10-03-2021 20:00:00;25.1
200006;10-03-2021 21:00:00;25.1
200006;10-03-2021 22:00:00;24.5
200006;10-03-2021 23:00:00;24.9
200006;11-03-2021 00:00:00;24.1
200006;11-03-2021 01:00:00;24.1
200006;11-03-2021 02:00:00;23.7
200006;11-03-2021 03:00:00;21.9
200006;11-03-2021 04:00:00;22.0
200006;11-03-2021 05:00:00;21.7
200006;11-03-2021 06:00:00;22.1
200006;11-03-2021 07:00:00;21.1
200006;11-03-2021 08:00:00;20.9
200006;11-03-2021 09:00:00;21.3
200006;11-03-2021 10:00:00;21.0
200006;11-03-2021 11:00:00;19.8
200006;11-03-2021 12:00:00;22.7
200006;11-03-2021 13:00:00;22.8
200006;11-03-2021 14:00:00;24.7
200006;11-03-2021 15:00:00;25.1
200006;11-03-2021 16:00:00;25.5
200006;11-03-2021 17:00:00;25.1
200006;11-03-2021 18:00:00;24.8
200006;11-03-2021 19:00:00;25.5
200006;11-03-2021 20:00:00;25.2
200006;11-03-2021 21:00:00;24.9
200006;11-03-2021 22:00:00;24.4
200006;11-03-2021 23:00:00;23.6
200006;12-03-2021 00:00:00;23.4
200006;12-03-2021 01:00:00;23.3
200006;12-03-2021 02:00:00;23.1
200006;12-03-2021 03:00:00;22.7
200006;12-03-2021 04:00:00;22.4
200006;12-03-2021 05:00:00;22.3
200006;12-03-2021 06:00:00;21.9
200006;12-03-2021 07:00:00;21.3
200006;12-03-2021 08:00:00;21.0
200006;12-03-2021 09:00:00;20.4
200006;12-03-2021 10:00:00;19.6
200006;12-03-2021 11:00:00;20.0
200006;12-03-2021 12:00:00;22.3
200006;12-03-2021 13:00:00;24.4
200006;12-03-2021 14:00:00;24.8
200006;12-03-2021 15:00:00;24.7
200006;12-03-2021 16:00:00;26.3
200006;12-03-2021 17:00:00;25.8
200006;12-03-2021 18:00:00;26.1
200006;12-03-2021 19:00:00;26.0
200006;12-03-2021 20:00:00;26.2
200006;12-03-2021 21:00:00;25.9
200006;12-03-2021 22:00:00;25.2
200006;12-03-2021 23:00:00;24.6
200006;13-03-2021 00:00:00;23.7
200006;13-03-2021 01:00:00;23.9
200006;13-03-2021 02:00:00;24.2
200006;13-03-2021 03:00:00;23.4
200006;13-03-2021 04:00:00;23.0
200006;13-03-2021 05:00:00;22.3
200006;13-03-2021 06:00:00;21.8
200006;13-03-2021 07:00:00;21.0
200006;13-03-2021 08:00:00;21.0
200006;13-03-2021 09:00:00;20.6
200006;13-03-2021 10:00:00;20.8
200006;13-03-2021 11:00:00;20.9
200006;13-03-2021 12:00:00;22.7
200006;13-03-2021 13:00:00;23.7
200006;13-03-2021 14:00:00;24.1
200006;13-03-2021 15:00:00;24.7
200006;13-03-2021 16:00:00;25.0
200006;13-03-2021 17:00:00;24.5
200006;13-03-2021 18:00:00;25.3
200006;13-03-2021 19:00:00;25.1
200006;13-03-2021 20:00:00;24.6
200006;13-03-2021 21:00:00;24.3
200006;13-03-2021 22:00:00;24.0
200006;13-03-2021 23:00:00;23.2
200006;14-03-2021 00:00:00;23.1
200006;14-03-2021 01:00:00;22.6
200006;14-03-2021 02:00:00;22.3
200006;14-03-2021 03:00:00;21.9
200006;14-03-2021 04:00:00;21.7
200006;14-03-2021 05:00:00;20.7
200006;14-03-2021 06:00:00;20.6
200006;14-03-2021 07:00:00;20.6
200006;14-03-2021 08:00:00;21.3
200006;14-03-2021 09:00:00;20.3
200006;14-03-2021 10:00:00;20.0
200006;14-03-2021 11:00:00;19.4
200006;14-03-2021 12:00:00;20.2
200006;14-03-2021 13:00:00;21.7
200006;14-03-2021 14:00:00;20.8
200006;14-03-2021 15:00:00;22.3
200006;14-03-2021 16:00:00;24.5
200006;14-03-2021 17:00:00;24.8
200006;14-03-2021 18:00:00;25.6
200006;14-03-2021 19:00:00;25.1
200006;14-03-2021 20:00:00;24.8
200006;14-03-2021 21:00:00;24.4
200006;14-03-2021 22:00:00;23.8
200006;14-03-2021 23:00:00;23.2
200006;15-03-2021 00:00:00;24.0
200006;15-03-2021 01:00:00;24.1
200006;15-03-2021 02:00:00;24.1
200006;15-03-2021 03:00:00;21.7
200006;15-03-2021 04:00:00;20.4
200006;15-03-2021 05:00:00;21.4
200006;15-03-2021 06:00:00;21.3
200006;15-03-2021 07:00:00;21.4
200006;15-03-2021 08:00:00;21.4
200006;15-03-2021 09:00:00;21.4
200006;15-03-2021 10:00:00;20.8
200006;15-03-2021 11:00:00;20.1
200006;15-03-2021 12:00:00;21.6
200006;15-03-2021 13:00:00;23.4
200006;15-03-2021 14:00:00;25.3
200006;15-03-2021 15:00:00;26.1
200006;15-03-2021 16:00:00;25.0
200006;15-03-2021 17:00:00;25.6
200006;15-03-2021 18:00:00;25.1
200006;15-03-2021 19:00:00;24.9
200006;15-03-2021 20:00:00;24.6
200006;15-03-2021 21:00:00;24.0
200006;15-03-2021 22:00:00;23.4
200006;15-03-2021 23:00:00;22.8
200006;16-03-2021 00:00:00;22.6
200006;16-03-2021 01:00:00;22.7
200006;16-03-2021 02:00:00;22.6
200006;16-03-2021 03:00:00;21.4
200006;16-03-2021 04:00:00;19.7
200006;16-03-2021 05:00:00;20.4
200006;16-03-2021 06:00:00;19.8
200006;16-03-2021 07:00:00;20.1
200006;16-03-2021 08:00:00;19.8
200006;16-03-2021 09:00:00;19.7
200006;16-03-2021 10:00:00;19.1
200006;16-03-2021 11:00:00;18.7
200006;16-03-2021 12:00:00;21.1
200006;16-03-2021 13:00:00;22.7
200006;16-03-2021 14:00:00;23.5
200006;16-03-2021 15:00:00;23.9
200006;16-03-2021 16:00:00;25.0
200006;16-03-2021 17:00:00;24.9
200006;16-03-2021 18:00:00;24.2
200006;16-03-2021 19:00:00;24.7
200006;16-03-2021 20:00:00;23.8
200006;16-03-2021 21:00:00;23.7
200006;16-03-2021 22:00:00;24.0
200006;16-03-2021 23:00:00;22.7
200006;17-03-2021 00:00:00;22.7
200006;17-03-2021 01:00:00;22.9
200006;17-03-2021 02:00:00;22.7
200006;17-03-2021 03:00:00;22.6
200006;17-03-2021 04:00:00;22.6
200006;17-03-2021 05:00:00;20.6
200006;17-03-2021 06:00:00;19.1
200006;17-03-2021 07:00:00;19.1
200006;17-03-2021 08:00:00;18.9
200006;17-03-2021 09:00:00;19.2
200006;17-03-2021 10:00:00;19.7
200006;17-03-2021 11:00:00;19.5
200006;17-03-2021 12:00:00;20.9
200006;17-03-2021 13:00:00;23.9
200006;17-03-2021 14:00:00;23.8
200006;17-03-2021 15:00:00;24.2
200006;17-03-2021 16:00:00;23.5
200006;17-03-2021 17:00:00;24.6
200006;17-03-2021 18:00:00;24.9
200006;17-03-2021 19:00:00;24.2
200006;17-03-2021 20:00:00;23.9
200006;17-03-2021 21:00:00;23.7
200006;17-03-2021 22:00:00;23.3
200006;17-03-2021 23:00:00;22.6
200006;18-03-2021 00:00:00;22.2
200006;18-03-2021 01:00:00;22.1
200006;18-03-2021 02:00:00;22.0
200006;18-03-2021 03:00:00;21.5
200006;18-03-2021 04:00:00;21.5
200006;18-03-2021 05:00:00;21.3
200006;18-03-2021 06:00:00;20.8
200006;18-03-2021 07:00:00;20.8
200006;18-03-2021 08:00:00;19.6
200006;18-03-2021 09:00:00;19.1
200006;18-03-2021 10:00:00;17.9
200006;18-03-2021 11:00:00;18.9
200006;18-03-2021 12:00:00;19.9
200006;18-03-2021 13:00:00;22.9
200006;18-03-2021 14:00:00;22.7
200006;18-03-2021 15:00:00;24.1
200006;18-03-2021 16:00:00;23.7
200006;18-03-2021 17:00:00;24.5
200006;18-03-2021 18:00:00;24.9
200006;18-03-2021 19:00:00;23.8
200006;18-03-2021 20:00:00;23.8
200006;18-03-2021 21:00:00;23.3
200006;18-03-2021 22:00:00;22.6
200006;18-03-2021 23:00:00;22.0
200006;19-03-2021 00:00:00;21.5
200006;19-03-2021 01:00:00;21.1
200006;19-03-2021 02:00:00;20.3
200006;19-03-2021 03:00:00;19.7
200006;19-03-2021 04:00:00;19.8
200006;19-03-2021 05:00:00;20.1
200006;19-03-2021 06:00:00;19.3
200006;19-03-2021 07:00:00;18.8
200006;19-03-2021 08:00:00;18.4
200006;19-03-2021 09:00:00;17.9
200006;19-03-2021 10:00:00;19.2
200006;19-03-2021 11:00:00;20.1
200006;19-03-2021 12:00:00;20.0
200006;19-03-2021 13:00:00;20.7
200006;19-03-2021 14:00:00;22.4
200006;19-03-2021 15:00:00;21.3
200006;19-03-2021 16:00:00;21.4
200006;19-03-2021 17:00:00;22.2
200006;19-03-2021 18:00:00;23.9
200006;19-03-2021 19:00:00;24.7
200006;19-03-2021 20:00:00;24.3
200006;19-03-2021 21:00:00;24.6
200006;19-03-2021 22:00:00;23.2
200006;19-03-2021 23:00:00;22.4
200006;20-03-2021 00:00:00;22.3
200006;20-03-2021 01:00:00;22.2
200006;20-03-2021 02:00:00;21.7
200006;20-03-2021 03:00:00;19.9
200006;20-03-2021 04:00:00;20.2
200006;20-03-2021 05:00:00;19.4
200006;20-03-2021 06:00:00;18.9
200006;20-03-2021 07:00:00;19.5
200006;20-03-2021 08:00:00;18.8
200006;20-03-2021 09:00:00;20.3
200006;20-03-2021 10:00:00;20.7
200006;20-03-2021 11:00:00;18.8
200006;20-03-2021 12:00:00;20.7
200006;20-03-2021 13:00:00;21.4
200006;20-03-2021 14:00:00;22.7
200006;20-03-2021 15:00:00;24.3
200006;20-03-2021 16:00:00;24.5
200006;20-03-2021 17:00:00;23.7
200006;20-03-2021 18:00:00;23.9
200006;20-03-2021 19:00:00;24.6
200006;20-03-2021 20:00:00;24.0
200006;20-03-2021 21:00:00;24.0
200006;20-03-2021 22:00:00;22.7
200006;20-03-2021 23:00:00;21.3
200006;21-03-2021 00:00:00;21.3
200006;21-03-2021 01:00:00;20.3
200006;21-03-2021 02:00:00;19.9
200006;21-03-2021 03:00:00;19.2
200006;21-03-2021 04:00:00;19.2
200006;21-03-2021 05:00:00;19.6
200006;21-03-2021 06:00:00;19.4
200006;21-03-2021 07:00:00;19.5
200006;21-03-2021 08:00:00;19.2
200006;21-03-2021 09:00:00;18.1
200006;21-03-2021 10:00:00;17.9
200006;21-03-2021 11:00:00;17.4
200006;21-03-2021 12:00:00;19.0
200006;21-03-2021 13:00:00;20.5
200006;21-03-2021 14:00:00;22.2
200006;21-03-2021 15:00:00;21.7
200006;21-03-2021 16:00:00;22.9
200006;21-03-2021 17:00:00;24.0
200006;21-03-2021 18:00:00;23.0
200006;21-03-2021 19:00:00;23.2
200006;21-03-2021 20:00:00;23.1
200006;21-03-2021 21:00:00;22.7
200006;21-03-2021 22:00:00;21.8
200006;21-03-2021 23:00:00;21.0
200006;22-03-2021 00:00:00;20.4
200006;22-03-2021 01:00:00;20.2
200006;22-03-2021 02:00:00;20.2
200006;22-03-2021 03:00:00;19.9
200006;22-03-2021 04:00:00;20.2
200006;22-03-2021 05:00:00;20.5
200006;22-03-2021 06:00:00;19.8
200006;22-03-2021 07:00:00;20.7
200006;22-03-2021 08:00:00;19.9
200006;22-03-2021 09:00:00;18.3
200006;22-03-2021 10:00:00;18.7
200006;22-03-2021 11:00:00;19.2
200006;22-03-2021 12:00:00;19.7
200006;22-03-2021 13:00:00;22.2
200006;22-03-2021 14:00:00;23.4
200006;22-03-2021 15:00:00;23.4
200006;22-03-2021 16:00:00;23.8
200006;22-03-2021 17:00:00;24.5
200006;22-03-2021 18:00:00;24.0
200006;22-03-2021 19:00:00;23.8
200006;22-03-2021 20:00:00;23.2
200006;22-03-2021 21:00:00;23.6
200006;22-03-2021 22:00:00;22.7
200006;22-03-2021 23:00:00;21.4
200006;23-03-2021 00:00:00;19.9
200006;23-03-2021 01:00:00;20.3
